year,area_title,occ_title,o_group,tot_emp,hourly_mean,annual_mean
2024,Washington,Building and Grounds Cleaning and Maintenance,major,"98,100",22.37,"46,540"
2024,Washington,Personal Care and Service,major,"66,220",25.22,"52,450"
2024,Washington,Sales and Related,major,"304,200",30.13,"62,670"
2024,Washington,Office and Administrative Support,major,"386,380",27.91,"58,060"
2024,Washington,"Farming, Fishing, and Forestry",major,"16,610",22.02,"45,800"
2024,Washington,Construction and Extraction,major,"170,570",38.54,"80,170"
2024,Washington,"Installation, Maintenance, and Repair",major,"136,350",35.08,"72,960"
2024,Washington,Production,major,"162,050",28.46,"59,190"
2024,Washington,Transportation and Material Moving,major,"287,920",28.36,"58,990"
2024,"Bellingham, WA",All,total,"90,970",33.22,"69,090"
2024,"Bremerton-Silverdale-Port Orchard, WA",All,total,"93,560",35.47,"73,780"
2024,"Kennewick-Richland, WA",All,total,"127,290",34.43,"71,620"
2024,"Longview-Kelso, WA",All,total,"40,980",31.77,"66,080"
2024,"Mount Vernon-Anacortes, WA",All,total,"51,700",33.25,"69,150"
2024,"Olympia-Lacey-Tumwater, WA",All,total,"127,360",35.18,"73,180"
2024,"Seattle-Tacoma-Bellevue, WA",All,total,"2,082,610",43.16,"89,760"
2024,"Spokane-Spokane Valley, WA",All,total,"255,370",31.92,"66,390"
2024,"Walla Walla, WA",All,total,"25,690",30.70,"63,850"
2024,"Wenatchee-East Wenatchee, WA",All,total,"51,580",29.97,"62,340"
2024,"Yakima, WA",All,total,"98,540",28.60,"59,490"
2024,"Bellingham, WA",Management,major,"4,200",68.69,"142,870"
2024,"Bremerton-Silverdale-Port Orchard, WA",Management,major,"3,770",70.55,"146,740"
2024,"Kennewick-Richland, WA",Management,major,"5,360",74.21,"154,350"
2024,"Longview-Kelso, WA",Management,major,"1,590",67.21,"139,790"
